プラットフォーム等コード,プラットフォーム名等
JFR025,MON MILLESIME
JFR026,DOMAINE MICHEL NOELLAT
JFR027,LA CAVE DES PAPILLES
JFR028,DOMAINE ARMELLE ET BERNARD RION
JFR029,CAVE DES SACRES
JFR030,LA VINOTHEQUE DE BORDEAUX
JFR031,STELLAE INTERNATIONAL FRANCE C/O MICHINO PARIS
JFR032,PHARM LUX / ELIQUID FRANCE
JFR033,PHILIBERT / PHILIBERT
JFR034,JUSTINE CLENQUET
JFR035,GONG SUP 1 SARL
JFR036,ACOLYT / CALL IT BY YOUR NAME
JFR037,SEABOURNE EXPRESS COURIER
JFR038,TYPOLOGY
JFR039,SATISFY
JFR040,COUCOU SUZETTE
JFR041,WE ARE REWIND
JFR042,CORPORATE COUTURE
JFR043,DAISY'S STORE
JFR044,BASTILLE
JFR045,AIR FRANCE SHOPPING
JFR046,IRIS GALERIE
JFR047,Z CHOCOLAT
JFR048,CONCEPT(K)
JGB001,NEXT
JGB002,MYPROTEIN
JGB003,VANQUISH FITNESS
JGB004,GYMSHARK
JGB005,SUNSPEL
JGB006,APOLINA
JGB007,CONTRADO
JGB008,EMMA BRIDGEWATER
JGB009,AMAIA
JGB010,APIDURA
JGB011,EUROSPARES
JGB012,CURRENTBODY
JGB013,BITMAP BOOKS
JGB014,AIR BUSINESS
JGB015,WSET
JGB016,BOXRAW LTD
JGB017,BRITISH BOOT COMPANY
JGB018,CHARLES TYRWHITT SHIRTS
JGB019,DESIGN ASYLUM RETAIL
JGB020,GHOST RETAIL
JGB021,NORTH SHOES
JGB022,SKINNY DIP
JGB023,LF MARKEY
JGB024,UTTAM
JGB025,VARLEY
JGB026,VENDULA LONDON LTD
JGB027,WHITCIRC LTD
JGB028,11 DEGREES
JGB029,3DTOTAL SHOP
JGB030,A WAY WITH MEDIA LTD
JGB031,ALL BEAUTY
JGB032,ALL SOLE
JGB033,AMELIORATE
JGB034,BAKER ROSS
JGB035,BEAUTY EXPERT
JGB036,BERGHAUS
JGB037,BODEN
JGB038,CANTERBURY
JGB039,COGGLES
JGB040,CULT BEAUTY
JGB041,EURO JAPAN TRADING CO.
JGB042,HQHAIR
JGB043,ILLAMASQUA
JGB044,KITBAG
JGB045,LOOKFANTASTIC
JGB046,MANKIND
JGB047,MILITARY 1ST
JGB048,MISSY EMPIRE
JGB049,MY BAG
JGB050,NEW LOOK
JGB051,OLIVER BONAS
JGB052,RAPHA
JGB053,SISTER JANE
JGB054,SPEEDO
JGB055,SPORTS DIRECT
JGB056,CAMDEN TOOLS
JGB057,PERFECT FIT
JGB058,THE HUT
JGB059,ROULEUR
JGB060,IDA SHOP
JGB061,MAD ABOUT SKIN
JGB062,M&CO
JGB063,THE WHITE COMPANY
JGB064,HOMO LONDON
JGB065,SILVER MUSHROOM
JGB066,JADED LONDON
JGB067,WILLIAMS GROUP
JGB068,GLOBE ENTERPRISE
JGB069,YARDSALE
JGB070,YOURS CLOTHING.
JGB071,NOURISHED
JGB072,BRIGHTON & HOVE 
JGB073,BOOK DELIVERLY
JGB074,PBSHOP
JGB075,PRESTO MUSIC
JGB076,DOOMSDAYCO
JGB077,DRESSMEZEE
JGB078,GOVIERS
JGB079,HIGH DIVE APPAREL
JGB080,PRO-RACE EXHAUST SYSTEMS
JGB081,SINNERS ATTIRE
JGB082,TESSA METCALFE
JGB083,UNKNOWN LONDON
JGB084,SHASHINGIFT
JGB085,I AM ME
JGB086,BEGG X CO
JGB087,ESPA
JGB088,GODDIVA
JGB089,UNIK
JGB090,JDS
JGB091,BRAND SAUCE LIMITED 
JGB092,THOM BROWNE - NEW YORK
JGB093,FORTNUM & MASON
JGB094,TAYLOR AND FRANCIS (TJ)
JGB095,ATOM SUPPLIES LTD
JGB096,BANANAFINGERS LTD FR
JGB097,KIKO KOSTADINOV LTD.
JGB098,CLASSIC ALFA LTD
JGB099,J CARTER SPORTING CLUB LIMITED
JGB100,MACKINTOSH LTD
JGB101,SIMONE ROCHA MOUNT STREET STORE
JGB102,OH POLLY LIMITED
JGB103,NAKED WOLFE
JGB104,SIDELINE DESIGN LTD
JGB105,WWW.MONICAVINADER.COM
JGB106,TAYLOR AND FRANCIS
JGB107,ARIES ARISE LIMITED
JGB108,RELIABLE MEDICARE
JGB109,QUIZ CLOTHING
JGB110,ORGANIC ZOO
JGB111,J.PRESS.JP
JGB112,STRATHBERRY LIMITED
JGB113,FOCUSRITE AUDIO ENGINEERING LIMITED
JGB114,LANDO NORRIS
JGB115,SYNA.STORE
JGB116,FOX UMBRELLAS LTD
JGB117,UNBOX INDUSTRIES
JGB118,FLANNELS
JGB119,TED LASSO
JGB120,ARROWFILMS
JGB121,TALA
JGB122,GLOVERALL 
JGB123,COU COU INTIMATES
JGB124,SPORTSDIRECT
JGB125,EXPLOSIVE FIBRES
JGB126,EZ GAINS
JGB127,GECKO MOTORCYCLES
JGB128,GOODFELLOW CAMBRIDGE
JGB129,HOUSE OF LEATHER
JGB130,STUDIOCARE
JGB131,TARA COOMBER
JGB132,WAXADDICT
JGB133,UDISCOVER MUSIC
JGB134,LAZY OAF
JGB135,HUUB
JGB136,BLACKSMITH STORE
JGB137,DMY STUDIOS
JGB138,UNIVERSAL WORKS
JGB139,YOR MUST CREATE
JGB140,RAT BETTY
JGB141,STUMPER & FIELDING
JHK001,CASETIFY
JHK002,YOUUP
JHK003,CAFUNE
JHK004,CCN
JHK005,DDT STORE
JHK006,BERLOOK
JHK007,DIYWATCHCLUB
JHK008,1 SHOP MOBILE
JHK009,FOREO
JHK010,GNC LIVEWELL
JHK011,SMARTBUYGLASSES
JHK012,ABLECARRY
JHK013,AMERICAN EAGLE
JHK014,STRAWBERRYNET
JHK015,EMBER
JHK016,7SGOOD
JHK017,"KEYCHRON ELECTRONICS (SHENZHEN) CO., LTD"
JHK018,NET-A-PORTER
JHK019,LANE CRAWFORD (HK) LTD.
JHK020,HAKUYOU TSUHAN INC.
JHK021,RHINOSHIELD
JHK022,OSAKADOU
JHK023,ORANDAYA
JHK024,BEST-E
JHK025,IST
JHK026,ASF
JHK027,VIRILITY SHOP
JHK028,JISA
JHK029,SAIKA
JHK030,KYUKYUYA.COM
JHK031,KARADAKAMPO.COM
JHK032,USAPARA
JHK033,F-TRADING
JHK034,RAZER INC.
JHK035,IM8
JHK036,HEADACHE SOUND ELECTRONICS LIMITED
JHK037,CCN SPORT
JHK038,HILIQ
JHK039,ALEXANDER WANG GLOBAL LTD
JHK040,PATTERN HOLDINGS COMPANY LIMITED
JHK041,GOELIA
JHK042,AMORESY
JHK043,FOVERO
JHK044,THE FUTURE ROCKS
JID001,JKGROUP
JID002,PT. SENSATIA BOTANICALS
JIL001,LOTAR COMBAT
JIN001,CEMCA
JIN002,ULTRAHUMAN HEALTHCARE PVT LTD
JIN003,GENIE EXPORTS PVT LTD
JIN004,SHYAMEXP
JIT001,FAVERO ELECTRONICS
JIT002,HERNO
JIT003,JIL SANDER
JIT004,VERSACE
JIT005,DSQUARED2
JIT006,FENDI
JIT007,GRUPPO PRITELLI
JIT008,BBRMODELS
JIT009,BOGGI MILANO
JIT010,BRUNELLO CUCINELLI 
JIT011,G&B
JIT012,CANTINE BIRGI
JIT013,BUSSELLATI
JIT014,DOLCE&GABBANA
JIT015,WINETIP
JIT016,CHRISTIAN VILLA 
JIT017,MR PORTER
JIT018,BRUNA ROSSO SRL
JIT019,GOLDEN GOOSE
JIT020,VALEXTRA SPA
JIT021,LIDIA SHOPPING SRL
JIT022,BASE BLU SRL
JIT023,SPINNAKER SRL
JIT024,SOCIETA' SPORTIVA CALCIO NAPOL
JIT025,OWENSCORP ITALIA SPA
JIT026,DROP SRL
JIT027,MANIFATTURA VALCISMON SPA
JIT028,GRAM(28)
JIT029,VENEZIA FC
JIT030,TUSCANY LEATHER FIRENZE
JIT031,MARNI
JIT032,MAISON MARGIELA
JIT033,BAZOOKA
JIT034,ANTONIOLI SA
JIT035,THE CORNER.COM
JIT036,BRAVE KID
JIT037,ETRO
JIT039,PRADA
JIT040,CUSTOM INFERNO
JIT041,GRAFFEO CRAVATTE
JIT042,TRANORA
JIT043,VENEZIANICO
JIT044,VECCHIA MURANO
JJP001,POLENE
JJP002,STICKER JAPAN
JJP003,CONEY ISLAND
JJP004,CALVIN KLEIN
JJP005,ARMANI
JJP006,SMYTHSON
JJP007,TIRTIR
JJP008,AYA COMPANY LIMITED
JJP009,VAPESTUDIO
JJP010,BLACKUP
JJP011,TIMEFLIK
JJP012,BELINDA
JJP013,POLANTOKKI
JJP014,GH. BASS & CO
JJP015,J.PRESS
JJP016,THREE STORE
JJP017,FIRE-KING JAPAN
JJP018,WATER WISE
JJP019,ROAD RUNNER BAGS
JJP020,MY MOODS LLC
JJP021,DOTERRA
JJP022,ENGEVITY
JJP023,POSSIM CO. LTD
JJP024,INTERPHOENIX
JJP025,ABERCROMBIE & FITCH
JJP026,HOLLISTER
JJP027,SOLVE
JJP028,VELOVITA
JJP029,THEFOUNDERS
JJP030,POP MART
JJP031,WAY OF WADE
JJP032,BROOKS BROTHERS
JJP033,TENSONEKO
JJP034,TAOBAOSHINKANSEN
JJP035,ASAPMODE GALLERY
JJP036,AMANDA
JJP037,ANDOR ONLINE
JJP038,ARULLE
JJP039,BAKER
JJP040,BONBON
JJP041,CAXUL
JJP042,CIELOGAMES
JJP043,CITRON ELEGANT
JJP044,CMALL
JJP045,CUMMEL
JJP046,DE ROSSI
JJP047,FASHIRU
JJP048,GIRLSCRUSH
JJP049,HILO&HILO
JJP050,JISTORY
JJP051,KAKISS.STORE
JJP052,MBLUE
JJP053,MENES
JJP054,MINNE
JJP055,MUSEHOME
JJP056,POMUROOM
JJP057,RUSSEL
JJP058,"SELF BUILT WEBSITE					"
JJP059,SOFADECO
JJP060,SUIMIA
JJP061,SURI SURI MASURI
JJP062,THATSKYSHOP
JJP063,THEFABCLUB
JJP064,TRANSIC
JJP065,UNIDRE BABY&KIDS
JJP066,VERILADY
JJP067,YOMOMENT
JJP068,ZOMIGEN
JJP069,SHILEO
JJP070,3RD DESIGN
JJP071,EU4RIA
JJP072,TOMOYOSHIYA
JJP073,MAKELOVE
JJP074,LIORA
JJP075,HIGHSTAKES FUKUOKA
JJP076,EGOMEI
JJP077,MONARCH CROWN
JJP078,LAZENA.JP
JJP079,DURAMOBI.JP
JJP080,MARIEANGE
JJP081,GLAM.DRESSLUXA
JJP082,STATELY
JJP083,JCTRADE
JJP084,TRUCKSHOP TOPROAD SENDAI
JJP085,AMERI PLUS
JJP086,ADWENS
JJP087,MUSHWEAR
JJP088,INSPIRE
JJP089,MYCASESTORE.NET
JJP090,SYNKROY.COM
JJP091,SQUENIK.COM
JJP092,TRANQUILJEWEL.COM
JJP093,UNBIRTHDAY
JJP094,SPICA GLOW
JJP095,TSUBAME RANDOSERU
JJP096,TAROBENI
JJP097,CHERI
JJP098,RIZAIM
JJP099,GUGU
JJP100,NOARE
JJP101,MODE-APPARARE
JJP102,YOUTHFUL SCAR PEOPLES
JJP103,EMUNIEM
JJP104,VIGORIS
JJP105,MIDO NOBU ACCESSRY SHOP
JJP106,ZAKKA RAKUBO
JJP107,ATELIER VEILCARRY
JJP108,HEATKING JAPAN
JJP109,BRABRA(BRABRA TOKYO)
JJP110,LILI MARCHE
JJP111,ELUVA
JJP112,BASE UDRESSER
JJP113,STEP OUT
JJP114,E-SQUARE
JJP115,MELLLAND
JJP116,OSHIHUKU
JJP117,NAMJA
JJP118,NESS
JJP119,KEELS
JJP120,HER ME
JJP121,RAKISSSH
JJP122,3SECONDS
JJP123,HANA NO DRESS
